Address,Item,count,positions
0x4b75f1d4892b655de545a036a6a6947611efb397,BSC_Alchemy (ACH)_0xbc7d6b50616989655afd682fb42743507003056d,4,"0,1,2,3"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Bancor (BNT)_0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,4,"12,13,30,31"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Cronos Coin (CRO)_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,4,"2,3,20,21"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Curve DAO Token (CRV)_0xd533a949740bb3306d119cc777fa900ba034cd52,4,"14,15,32,33"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_EnjinCoin (ENJ)_0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,4,"10,11,28,29"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Lido DAO Token (LDO)_0x5a98fcbea516cf06857215779fd812ca3bef1b32,4,"8,9,26,27"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Maker (MKR)_0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,4,"0,1,18,19"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_SuperRare (RARE)_0xba5bde662c17e2adff1075610382b9b691296350,4,"4,5,22,23"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,ETH_Wrapped Ether (WETH)_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4,"6,7,24,25"
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,POL_PYR Token (PYR)_0x430ef9263e76dae63c84292c3409d61c598e9682,4,"16,17,34,35"
0xe3c255ffc3aa4fb9a93abfd881b8ca19e9bf7e3a,ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,4,"0,1,4,5"
0xe3c255ffc3aa4fb9a93abfd881b8ca19e9bf7e3a,POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26,4,"2,3,6,7"
