Rank,Address,Name Tag,Balance,Percentage,Txn Count
744,0xc2906c3c14d89bdd7bfc22a3f6c1f375664aaaab,,"12,341.71414387 ETH",0.01024861%,7
745,0x087d2c24c0225b286e5aac0e94aefba0af3b44dc,,"12,300.49758831 ETH",0.01021438%,32
746,0xdeb9cc22cd17136cce26f9341b81d2a5c83beca5,,"12,300.001 ETH",0.01021397%,3
747,0xea039cf1857bd0e14919c4ef1a8b332a83110bff,,"12,300 ETH",0.01021397%,2
748,0x79ae5dcd42a1fe24e63ef15296a73dd6c5e5dd16,,"12,299.9877346 ETH",0.01021396%,5
749,0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,,"12,284.35943818 ETH",0.01020098%,"4,273"
750,0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,Bitfinex 18,"12,284.33645009 ETH",0.01020096%,2
751,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,Tornado.Cash: 10 ETH,"12,280 ETH",0.01019736%,"14,076"
752,0xdf7516a977b7485a68a17cb98961fdc3d97c71b9,,"12,210.9111436 ETH",0.01013999%,83
753,0x21346283a31a5ad10fa64377e77a8900ac12d469,iEXEC: MultiSig,"12,199.92794052 ETH",0.01013087%,178
754,0x7f34f6f298318c635256be78edcfae096137b4cb,,"12,199.88987606 ETH",0.01013084%,4
755,0xe2f455993c24f6c0d49d30c1e56de95d314a0a6a,,"12,165.53213808 ETH",0.01010231%,9
756,0xb224228b0fe71cebf95ee25339166cd626759b52,,"12,155.76931035 ETH",0.01009420%,"7,925"
757,0xa408e7e8fc70ded5c9453f401901f744df6d7b11,,"12,146.66163674 ETH",0.01008664%,26
758,0x5a16552f59ea34e44ec81e58b3817833e9fd5436,cVault Finance: Deployer,"12,143.34788559 ETH",0.01008388%,"1,078"
759,0xcb979b2246c7bcdaca2c241bf3cea2c547cf671c,,"12,128.38916696 ETH",0.01007146%,2
760,0x03b51bf1e67f976107ce9446f5694ca1685e6c5a,,"12,006.88866528 ETH",0.00997057%,2
761,0xf7f741e29828da8500a5daae6a348008fe3a5816,,"12,000.51057723 ETH",0.00996527%,46
762,0x31aa4198aba25afa719d9ef634c9d24d3e81d99f,,"12,000.00027437 ETH",0.00996485%,61
763,0x0e6dfd553b2e873d2aec15bd5fbb3f8472d8d394,,"12,000 ETH",0.00996485%,2
764,0x41ba4da465f2c9de9adf70fb7a91e510778e9af7,,"12,000 ETH",0.00996485%,1
765,0x8707d70c64007a1f095bcda3fbd3f6fbd97089e8,,"11,999.996325 ETH",0.00996484%,3
766,0x3bd664377f17c95818ca8a51b2ca9c94054946c7,,"11,995.60187851 ETH",0.00996119%,58
767,0xbdc6384ef4ead1ea9bf2a82390f2ede46baf1aef,,"11,960 ETH",0.00993163%,1
768,0x9fb78e222c3a2e05836aecd1cbc2cdb1847cbaf5,,"11,951.05304798 ETH",0.00992420%,1
769,0x1ad9443a38be75b2ffd191167fa6c3b13629fe13,,"11,913.374659 ETH",0.00989291%,2
770,0x4d22e4f9f2bc8a0697279ce83dd1d23f1136b707,,"11,911.52092255 ETH",0.00989137%,13
771,0x0b3fb306e59bf5a2740b452c27717f79756b48e5,,"11,900 ETH",0.00988181%,1
772,0x182e1259ef6ee45dc811132ef4ba5871f1536822,Bitstamp 12,"11,900 ETH",0.00988181%,0
773,0x52676741724fb7e9700135164affbec7a20c1aa0,,"11,900 ETH",0.00988181%,1
774,0x40b5a4ccfc57f43ad6b8fd77c590b7f4174872b3,,"11,898.79618154 ETH",0.00988081%,215
775,0x3ad2fcd6a2ce246e890826c9bcca20f06ce11083,,"11,884.01 ETH",0.00986853%,1
776,0x37668560ee719c397af89c5849d00c3c262246a7,,"11,876.855559 ETH",0.00986259%,2
777,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Lido: stETH Token,"11,855.71924264 ETH",0.00984504%,"1,160,274"
778,0x581ac42783f3e6b273da01da3c7576acf8fc0d47,,"11,840.63718358 ETH",0.00983251%,1
779,0x01820d92f8f86947ca0454789172ad60e05817fa,,"11,826.18611936 ETH",0.00982051%,247
780,0x5f397b62502e255f68382791947d54c4b2d37f09,Deribit 8,"11,814.24460622 ETH",0.00981059%,"1,909"
781,0x764c64b2a09b09acb100b80d8c505aa6a0302ef2,Truebit Protocol: Purchase,"11,798.82626737 ETH",0.00979779%,"2,414"
782,0xca02c1155311ffe056b6337c3fc06dac339c3a86,,"11,791.85229721 ETH",0.00979200%,623
783,0xaf3aa7b4cecb92995cd240a849c9dae70e09186d,,"11,781.267 ETH",0.00978321%,2
784,0xb00394c071f1835fd3561a51c97869acdb229066,,"11,746.19426374 ETH",0.00975409%,1
785,0xe5928c550b8d5b196db62687bef741ed627907fc,,"11,742.70952451 ETH",0.00975119%,74
786,0xffd39d27e7cdc53c1a9c74013e6e1c2df1f27bf1,,"11,739.93342753 ETH",0.00974889%,2
787,0x15c126f55a48e4fee27f864d477e8f175ce80284,,"11,728.75 ETH",0.00973960%,29
788,0x7010aec5af99fecaa716020ce52752ef07feedb9,,"11,721.979084 ETH",0.00973398%,1
789,0x168ae36b4386cea14475faa41498a0ea63c67dd7,,"11,717.21571973 ETH",0.00973002%,36
790,0x12da64f9c7b4e9a73f9e177cd18c40cf307306f4,,"11,665.80232548 ETH",0.00968733%,8
791,0xbfc9c5878245fb9fe49c688a9c554cba1fae71fa,,"11,650.08162532 ETH",0.00967427%,14
792,0x682aa4ecb9c8ea51b22433189e979cad3f958711,,"11,638.89684511 ETH",0.00966499%,39
793,0xc07582a7d47aa748de45b526839a4ed505c6c370,,"11,628.465924 ETH",0.00965632%,13
794,0xcc5e414f1e06a74e707a8fcca0438448f5353e3e,,"11,620.569559 ETH",0.00964977%,2
795,0xa00776491b80e483789e620fe81658a120ee65a5,,"11,599.998908 ETH",0.00963268%,4
796,0x49c737359364809b86ac0c482542210f433b79fb,,"11,579.726451 ETH",0.00961585%,11
797,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"11,576.72924844 ETH",0.00961336%,"1,183,151"
798,0x20fcb7b4e103ec482645e15715c8a2e7a437fbd6,,"11,558.14313074 ETH",0.00959793%,2
799,0xf42c318dbfbaab0eee040279c6a2588fa01a961d,,"11,539.5 ETH",0.00958245%,"4,776"
800,0x0e2f20bbb63826b87ef1a6c8ff5d5d499e804302,,"11,529.31774982 ETH",0.00957399%,1
801,0xede60080bd1407a65823c1001fd56aa9a3a3c4c4,,"11,500 ETH",0.00954964%,1
802,0xf5e122b93a6e2cf2b5d09b525780eb71b2a1b3d0,,"11,500 ETH",0.00954964%,1
803,0x685b1d905ae7cee34a745bff9577990edf39331a,,"11,418.79366045 ETH",0.00948221%,202
804,0x06425f63a23a87e4928bc490dc7459f8e6b014a8,,"11,397.74493386 ETH",0.00946473%,"2,749"
805,0x1e5f7553ce357ebeed4fb2076733f32bee269a92,,"11,365.3 ETH",0.00943779%,5
806,0x09b788cfc3c109540425d998b1004f79874e6971,,"11,342.21722509 ETH",0.00941862%,"1,348"
807,0xcc6fcfb8b3988043e382a481d6bf482d68897024,,"11,327.18052706 ETH",0.00940614%,"7,762"
808,0x98078db053902644191f93988341e31289e1c8fe,Blast: ETH Yield Manager Proxy,"11,324.24635923 ETH",0.00940370%,"1,141"
809,0xc40cc765114393aeeaae82b74d021b61a0c11409,,"11,300 ETH",0.00938356%,1
810,0x992271b5015274cd7cc934860695f7599cd930f8,,"11,296.55005244 ETH",0.00938070%,1
811,0x56a9cf3df976e18727c624eb63e5cedfc045589d,,"11,290.62660785 ETH",0.00937578%,19
812,0x96351a787be9d1787ab47be436877723dc4199c4,,"11,283.11383883 ETH",0.00936954%,55
813,0x0b4cf3c2f3481c0c84565f97f2a645925bb4abf5,,"11,249.01853824 ETH",0.00934123%,14
814,0x1b3cc8c6ed708c7cb4dd5afb97543538e176bbe3,,"11,246.04863257 ETH",0.00933876%,10
815,0x056f59ab533fcd15883c4410d9ba9836c3bb7fa8,,"11,202.95462673 ETH",0.00930298%,92
816,0x4fdfe365436b5273a42f135c6a6244a20404271e,,"11,163.8698688 ETH",0.00927052%,486
817,0xf7a350f9755eb6601d31803fa32bbd5f710dfc8c,,"11,143.51036371 ETH",0.00925361%,1
818,0xce0545778ba51d4ffb8fb0c323a668c6ea42bee6,,"11,139.54175577 ETH",0.00925032%,103
819,0x086617a910e1ddc1291a26cf65f0ee5746f848d8,,"11,130.55893075 ETH",0.00924286%,3
820,0x21786202e5a25e5cca759939c7d56d428dbee352,,"11,103.99703011 ETH",0.00922080%,10
821,0x0e8eeb6759e0117200b472e054a6cd61f7777f3b,,"11,102.35793603 ETH",0.00921944%,1
822,0x7fa9a18f72955a15f1e2d94ddf0a6d0485b1debb,,"11,067.24557134 ETH",0.00919028%,129
823,0xd588e4102dff8f517d5875fe8a6befce6d501054,,"11,064.60243133 ETH",0.00918809%,1
824,0xbac101a6c81533e718a285a02280d4952ddd5b06,,"11,057 ETH",0.00918178%,1
825,0xeadc152ac1014ace57c6b353f89adf5faffe9d55,,"11,048.54308937 ETH",0.00917475%,466
826,0x051c81439b93de85d31a185c77f44e3d4bee8585,,"11,027.037249 ETH",0.00915689%,9
827,0x1395c7153b531d3b2d53834cf3aee70b919f6fd4,,"11,017.207559 ETH",0.00914873%,2
828,0x6ba7843b25869a7a2570eebca10d5fd7192c81f9,,"11,011.547 ETH",0.00914403%,7
829,0x8f728ca3561edf7b015a0b972f8b6fb04db89e2e,,"11,006.32817835 ETH",0.00913970%,7
830,0xddd3ee8adc6fba23b5323e667a5a817d33bed8b7,,"11,004.12907267 ETH",0.00913787%,10
831,0xa951a1bcbbd1bee2cc35cfd96dcf9d101e630c40,,"11,000.96644868 ETH",0.00913525%,82
832,0xe93f42c02ca3a26969ec5bc6d02e6cc646ed11f3,,"11,000.41901586 ETH",0.00913479%,11
833,0x4dac9b0a16e8c81d692a30c621763df7248db6f0,,"11,000 ETH",0.00913444%,1
834,0xb628441794cd41484be092b3b5f4b2ff7271eb60,,"10,990.10201369 ETH",0.00912622%,1
835,0x61eec652fbda4490772e71e2300db540e3d267ac,,"10,983.87907661 ETH",0.00912106%,7
836,0x2f23642c614d0c2920681a4c03b8b880c72709aa,,"10,959.5738 ETH",0.00910087%,2
837,0xa2c0f1083ea1c5279a0111d8886989fb5299d483,,"10,943.75475415 ETH",0.00908774%,130
838,0xa2ce66f2706c8ecc3b1b8a80bb050b156fff9b08,,"10,909.46264745 ETH",0.00905926%,1
839,0x5d48ae24e96ca893e7de05a277d6a90c35588e5f,,"10,900.01 ETH",0.00905141%,2
840,0x07d7a1d64e35e69241a1519ea6bc1e09f66c99e9,,"10,900 ETH",0.00905140%,1
841,0x2555ef4fe1005af6d870b4af4cb39521326ff67e,,"10,899.9807346 ETH",0.00905139%,1
842,0xc0e19abd7e913fdf00265b3846f30746b786c04c,,"10,890.97900633 ETH",0.00904391%,104
843,0xf61ff8125700e46463120ecb4153f8455dbffc1e,,"10,889.66612902 ETH",0.00904282%,1
844,0xb1744815cf2decb53d4a38080a5eb5fe9cc9e77c,,"10,878 ETH",0.00903313%,1
845,0x4bbd78a6dbea8dc5f5b0ca5117c82e3cc0eb5875,,"10,852.53071219 ETH",0.00901198%,5
846,0xd3317f334db5106feb8d5e13433d4c6ab906a304,,"10,800 ETH",0.00896836%,1
847,0x75ba1ce57ce55ae3ab8a83f333449ad3b63de8b3,,"10,800 ETH",0.00896836%,1
848,0xa7165b9ea2ab66a9b3a5a8a176d715c9a463fbd5,,"10,800 ETH",0.00896836%,1
849,0xe121e595ac1b8ed3ca10cd7ec7b7f2d48cbaf2d2,,"10,785.95858748 ETH",0.00895670%,1
850,0x9597052f599b9b3e39b26175ebeca8c38bd7db59,,"10,784.42710129 ETH",0.00895543%,3
851,0xf250b4acd5855362df708771ddf7280e8e4167b7,,"10,757.29301107 ETH",0.00893290%,1
852,0x8bcbccfc6736c61fdbe6791453564ef432241b53,,"10,716.6770867 ETH",0.00889917%,44
853,0xde804e46f67ebeecbe4c0a54efe33143cb7ab9e2,,"10,712.87682835 ETH",0.00889601%,"1,789"
854,0xcd08bedee338bf69f38ef49ba64d88043a2d1953,,"10,706.81448664 ETH",0.00889098%,54
855,0x152876abd0edf56845dba1e714379faadad5060a,,"10,700.969748 ETH",0.00888613%,1
856,0xea74e036762f560661550372f5abcf937c3a8585,,"10,699.969874 ETH",0.00888530%,1
857,0x33d7bae275f7f92f55ba569113220520c930bfbf,,"10,698 ETH",0.00888366%,1
858,0x5d0d88bcece4947cb9a9b7e102767febfdbde996,,"10,660.06658221 ETH",0.00885216%,4
859,0xbf43cbd9b7784a744d5705a2e8365ee96a3120fc,,"10,627.75520555 ETH",0.00882533%,9
860,0xff575a22975cc413771825eb84c163189a4d5d22,,"10,624.81385228 ETH",0.00882289%,13
861,0x8df36a20fbaeaab4a247022d9bf9a47cc912035c,,"10,611.938031 ETH",0.00881219%,31
862,0xf939ab194400da7d12b5def3f753b1423e6a45e3,,"10,600 ETH",0.00880228%,1
863,0xe467cdab8ed6d14baf2742352891fb16a9f76736,,"10,582.63820662 ETH",0.00878786%,4
864,0x198da095ca056c066e838eeef10caedbd81a5a08,,"10,580.5700433 ETH",0.00878615%,8
865,0x68084eac915e3429320ed6574811a0ea2873427c,,"10,572.41304636 ETH",0.00877937%,1
866,0xbb077ebe177c8f8259914f95ac1512842eea2023,,"10,571.20599371 ETH",0.00877837%,1
867,0x429c8344c9b911e9a0a6e6ce257b28250bd3a90a,Bittrex  : Cold Wallet,"10,569.89994401 ETH",0.00877729%,146
868,0x3f35f4569cd0db7c3aa29cfa1732482f2a1a29f9,,"10,547.88839668 ETH",0.00875901%,21
869,0x905315602ed9a854e325f692ff82f58799beab57,Alpha Homora V2 Exploiter,"10,547.35705908 ETH",0.00875857%,92
870,0xd03be958e6b8da2d28ac8231a2291d6e4f0a7ea7,Korbit 4,"10,544.23054298 ETH",0.00875597%,35
871,0xdebe82c106bc7357d7867a7781c4d45d30b2a4cb,,"10,537.99585 ETH",0.00875079%,2
872,0xd42a5ba156f6f2747652740620ed642b0aa02fe9,,"10,502.38532328 ETH",0.00872122%,5
873,0xa43680f780c176216ec4d374dd1ebe229ecb07aa,,"10,437.01191325 ETH",0.00866694%,5
874,0x8740ebf35c08627dac6a8ccb0310aa920e0e66a1,,"10,424.97875467 ETH",0.00865694%,1
875,0x52d2083771c8a53b2315b136681bc8ec22e1176d,,"10,407.2803195 ETH",0.00864225%,1
876,0x5fd8c3245ce27d3bf9af05c2106d622163793c83,,"10,400.55453265 ETH",0.00863666%,53
877,0x3846aed50a2ed5959a4ea897c32c97fc70881561,,"10,387.77241055 ETH",0.00862605%,8
878,0xbe8628f850838e8683e53734aed211c8ad7be95b,,"10,365.322484 ETH",0.00860740%,1
879,0x7b90e8eb6525a8d6840a9e75e823903d77040b60,,"10,364.99208673 ETH",0.00860713%,9
880,0x8f1ef2c70a61cae8dd54d25be7b44c2e581c6b33,,"10,357.64946205 ETH",0.00860103%,11
881,0x16da108374550fbd62dd732f9cd9bdb1d6c66c17,,"10,354.99722304 ETH",0.00859883%,28
882,0x2a3dd3eb832af982ec71669e178424b10dca2ede,Polygon (Matic): zkEVM Bridge,"10,349.51723812 ETH",0.00859428%,"259,607"
883,0x050f910ae80022f5b1df75b6907584090daf8e94,,"10,347.30936612 ETH",0.00859245%,5
884,0xee5b5b923ffce93a870b3104b7ca09c3db80047a,Bybit: Hot Wallet 4,"10,341.47886393 ETH",0.00858760%,"2,273"
885,0xb702775182932110b614df8dd75c5a0c36da0274,,"10,339.13882167 ETH",0.00858566%,1
886,0xca19401610e2222f19cb9d47e53e9e29535e87e3,,"10,338.37770388 ETH",0.00858503%,3
887,0xd55fb029f7014d7faa23822c4af143e89ac8df5b,,"10,336.64285762 ETH",0.00858359%,11
888,0x6709842c12e713789f5706e0dc207921e0835d50,,"10,335.01091583 ETH",0.00858223%,3
889,0x146871534fbc39fd25328daedd9225d6ff0f2535,,"10,321.06327946 ETH",0.00857065%,1
890,0xa6e4173ec39b9c7468a23e71a0da11e6fb23e058,,"10,320.39268946 ETH",0.00857009%,2
891,0x055c8ebc495bc1363260544312cfaa9615f7fc14,,"10,297.29443447 ETH",0.00855091%,1
892,0xfd71c87da768207db2b8532cab368aad8cde9cc3,,"10,295.16108057 ETH",0.00854914%,1
893,0xf6bc8361ef8df8db9987f492ca3b6c30185eb175,,"10,288.6887104 ETH",0.00854377%,4
894,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io 1,"10,282.65756027 ETH",0.00853876%,"9,279,100"
895,0x6fc48de8f167456b7aa27dd4ecfabba329ea623d,Bithumb 13,"10,277.4676799 ETH",0.00853445%,"220,260"
896,0x38c385df37626ffc96cf59bd3f399c24be74a259,,"10,269.19030599 ETH",0.00852758%,9
897,0x9bac87df4bed2b798723cb72e93b3c8b3ba848ae,,"10,252.9076749 ETH",0.00851405%,14
898,0x444272e48b1f819a76fa3c6152c23cd6de007d26,,"10,252.53003554 ETH",0.00851374%,18
899,0xf59a762f6055e0d29fb85c0fb9d33d2849d8d249,,"10,243.10188777 ETH",0.00850591%,6
900,0xd94e27c1a99602e737ea0d4d912367e660931531,,"10,236.56196438 ETH",0.00850048%,12
901,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f,,"10,212.45496215 ETH",0.00848046%,426
902,0x9914955ffcb0d3ca8b6d1e5fa15199e892475387,,"10,208.1 ETH",0.00847685%,1
903,0x1ec4adaab2256f604a80135b686384b2bec906e2,,"10,201.55124859 ETH",0.00847141%,2
904,0x4de2904c12838d118dc163064cc8b88e3ce250d5,,"10,189.42800368 ETH",0.00846134%,5
905,0xe8e21c78e95a86fcf26c92fa28aa7f1aa22edafd,,"10,189.42800368 ETH",0.00846134%,5
906,0xb236836c53122f4c03985eb7f04ff710a02c51e9,,"10,189.42800368 ETH",0.00846134%,2
907,0xb1209c8777ed5ebbb031823a0913589e2f12a79f,,"10,189.42800368 ETH",0.00846134%,4
908,0xfbb58f3181294db3d7c44bc1c480c3f71c0d7e20,,"10,189.42800368 ETH",0.00846134%,2
909,0xc0616897359267eba4b7a9fa2b9f1992f9a34a49,,"10,189.42800368 ETH",0.00846134%,1
910,0xcb0438b8ee5adb8811e1ef7f644413031e4911da,,"10,189.42800368 ETH",0.00846134%,1
911,0x9e7174cad1a3c8cc479f44c397438e7d53a2d874,,"10,177.16126753 ETH",0.00845115%,66
912,0xcf8bbeccf495ad0127c32eb0b284b85d891eee7a,,"10,166.95938635 ETH",0.00844268%,60
913,0x8c24fd5ec2fa8b54a927e98a44b3f420e73eef23,,"10,156.85673106 ETH",0.00843429%,1
914,0x626de0db828cdc5eb81ff108862bde19f66fc6be,,"10,154.16408142 ETH",0.00843206%,1
915,0x28bb7d15e9cc8b1c07cc0fb16c7b9c4896a68c1c,,"10,153.50181092 ETH",0.00843151%,2
916,0x7401ea6d95e77894b13775fe3e15b48d053d8e0f,,"10,151.83133474 ETH",0.00843012%,1
917,0xff42e2a81a5ab429eead7654344a9deec215dabf,,"10,151.74356773 ETH",0.00843005%,2
918,0x645471133f8f7af362a2878796ed516452d5cb24,,"10,121.10066156 ETH",0.00840460%,1
919,0xf15deafe4b2aed343051c7a31040b8be920de504,,"10,110.15321344 ETH",0.00839551%,1
920,0xf53ef57b0f32ed0d151e4e6eee8c66c919dbd202,,"10,100 ETH",0.00838708%,1
921,0x71b77eb874c2e8b530133244e2a28771040762dd,,"10,100 ETH",0.00838708%,1
922,0x52376658d27cd024dd18de54912cf355719f0f3e,,"10,100 ETH",0.00838708%,1
923,0x556d8abf8e9da36470fe6f53e5d84fa62654b4fa,,"10,100 ETH",0.00838708%,1
924,0xf0b9db9a9eed7b55b2e96aa512f5d99527af687e,,"10,099.998 ETH",0.00838708%,3
925,0x0713e7eb765b9578483673432d39ae0f5cd03882,,"10,093.80969211 ETH",0.00838194%,1
926,0xf51710015536957a01f32558402902a2d9c35d82,,"10,086.71939106 ETH",0.00837605%,"123,787"
927,0x240a3c4fb691ed4d393f7ce1a61d0bb8bf91e0d4,,"10,086.29035342 ETH",0.00837569%,2
928,0x875abe6f1e2aba07bed4a3234d8555a0d7656d12,,"10,083.58170733 ETH",0.00837345%,579
929,0x1d4eabe367ed58fefabdf5ae4d73a1d0a6c2c8a9,,"10,080.49450813 ETH",0.00837088%,34
930,0x5109ebf8da80411187f861592c0af48b95376dc9,,"10,080.04080965 ETH",0.00837051%,826
931,0x10abe2494e4525f8cd2bac772671f0e1a44c6975,,"10,060.02470694 ETH",0.00835388%,122
932,0x11dbf181dd5c075c2abd92cb9579c4809406b5be,,"10,057.17590943 ETH",0.00835152%,"25,310"
933,0xfd58f0bd175d6695c4faaea04a5db85a149bb479,,"10,055.20785338 ETH",0.00834988%,8
934,0xd0791bb1e59ed26d49f7df67ca62122149b27cbd,,"10,051.32964132 ETH",0.00834666%,18
935,0x940d49beb1e89ddaeff286e22c7cbed39190cb24,,"10,051.06002995 ETH",0.00834644%,7
936,0x273815d17ad1c35d4e2429dc21f44ec7ad04a9cd,,"10,047.61697635 ETH",0.00834358%,3
937,0x4a80c83a138fb21f54cb1b55d0ffcc6254bb53dd,,"10,039.66441515 ETH",0.00833698%,11
938,0x77001e4fbfed719b6ba335c6b3bc4d5efb361d2d,,"10,039.45258632 ETH",0.00833680%,2
939,0x0ac9fce7636af8fa933068a3a5ecb71f8177c4f3,,"10,033.82062376 ETH",0.00833212%,23
940,0x2e2171cce13573b6a93c7440d6978e71b14f99ac,,"10,028.29985249 ETH",0.00832754%,77
941,0xef110ca3c34a5074d455d687ac98f40c03d16173,,"10,023.64336784 ETH",0.00832367%,"1,463"
942,0xf9b43deb017253448eea94ad790db67541487021,,"10,015.77222006 ETH",0.00831714%,671
943,0x914b432dad9c29c081f93d84790919335bcbd33f,,"10,012.28217151 ETH",0.00831424%,24
944,0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,,"10,007.78816078 ETH",0.00831051%,"16,603"
945,0xcace62287b7794a8fa7b4daf45f0d037434c54db,,"10,007.24771869 ETH",0.00831006%,6
946,0xc428092d28538afad62e667dc957ec4b56234c53,,"10,005.21492622 ETH",0.00830837%,16
947,0x50f8f4ac820b63ce09fcb5f5f9c7756620502f8a,,"10,001.89258678 ETH",0.00830561%,8
948,0x6a2abd0fa9bb0584fe2922b5110bb637de47b75b,,"10,000.99740519 ETH",0.00830487%,5
949,0x2048ed6b9b01eefb353841daf47820dce0ce4b76,,"10,000.99649133 ETH",0.00830487%,6
950,0xee8d8ababb63bcd41e70a30b187cbaaa4e5d7ec6,,"10,000.99632755 ETH",0.00830487%,8
951,0x74ab3d0cf3cefe882b4397a54aae10099e59ccf0,,"10,000.98967023 ETH",0.00830486%,16
952,0x935974b1272a2dec7df13cd8ee62ca1880c00121,,"10,000.93920055 ETH",0.00830482%,6
953,0x97255de8f7a2885ce3dcb4bebb8708ce28ec75d4,,"10,000.93783297 ETH",0.00830482%,245
954,0xe9405bd9845a488e4c5e5e6d972fea932e2e4a3c,,"10,000.65864737 ETH",0.00830459%,40
955,0xbd6ce13c269890c4d1137b7beb0c7b1ff7f59556,,"10,000.510669 ETH",0.00830446%,9
956,0x6ab0575a94d1718a19759522801e0761ffb95722,,"10,000.39383865 ETH",0.00830437%,61
957,0xaa5a6345eabcc9486d26f79048695d0a94758fd0,,"10,000.09377814 ETH",0.00830412%,25
958,0xe9710b79f673dce3a4e2e9b68ffdc93fa056d87d,,"10,000.08392453 ETH",0.00830411%,10
959,0xde89f4e9a9635abed5fde148a2b6f6638050221f,,"10,000.049139 ETH",0.00830408%,3
960,0x1b8c323e2493c841205b9f96c0190bde6ffeea30,,"10,000.02150188 ETH",0.00830406%,2
961,0x5cecda7ab52609b4bd5459ab3f12b082a0fb21df,,"10,000.003 ETH",0.00830404%,2
962,0x4d150fb4dc739db7d019ab3980f05077377b5de1,,"10,000.00223836 ETH",0.00830404%,6
963,0x06936e099c22ffbb6a2323c14bfffba3b0268cf1,,"10,000.00016363 ETH",0.00830404%,3
964,0x497196442e8e1ab21a2abb3bd40ede04a5d8bb74,,"10,000.00014356 ETH",0.00830404%,3
965,0x7dba67ee3c4656a9b76c3fdd537fd26aacd53acf,,"10,000.00013443 ETH",0.00830404%,3
966,0xf81e82a2177c46c050e66cfe0cb88a25fe617299,,"10,000.00013313 ETH",0.00830404%,3
967,0x63374d468a9511068706d8897231ff298eb9584b,,"10,000.00013283 ETH",0.00830404%,3
968,0x7e7eb7e7a7601c127d98545c4579f6adb719c511,,"10,000.00012857 ETH",0.00830404%,3
969,0xa70e76af7e806c84c7c19352ecc3be0fb064f5a6,,"10,000.00012077 ETH",0.00830404%,3
970,0x090af3cd6d52badcb549a70c8d833da28e6a8de3,,"10,000.00011993 ETH",0.00830404%,3
971,0xfe3b3a9e982ac18bd0fa8fcf0b345603e7f6e308,,"10,000.0001135 ETH",0.00830404%,3
972,0x56220b7e25c7d0885159915cdebf5819f2090f57,,"10,000.00011168 ETH",0.00830404%,3
973,0x351e1b4079cf180971025a3b35dadea1d809de26,,"10,000.00010374 ETH",0.00830404%,3
974,0xa61551e4e455edebaa7c59f006a1d2956d46eecc,,"10,000.00010116 ETH",0.00830404%,3
975,0x85dd5c630ac389aa541c8562461a1f83c8ad2888,,"10,000.00009949 ETH",0.00830404%,3
976,0xb0d39713eb4a56c5f7b950ccc01d701901ec9486,,"10,000.00009586 ETH",0.00830404%,4
977,0xe3f2f9567e016192f737e3d514da0fd930bf55f9,,"10,000.00009506 ETH",0.00830404%,3
978,0x334a31985f5dc6da6e4b1a85d9183cfc18535aeb,,"10,000.00009502 ETH",0.00830404%,3
979,0x3dc7b60704e37eef0d84323354c310b4cba991bf,,"10,000.00009447 ETH",0.00830404%,3
980,0x3318947058ef405b5cf7548f150ff8676ef71415,,"10,000.0000808 ETH",0.00830404%,3
981,0xc043c690734bfd174aef4f915e6c55ed2914ff41,,"10,000.00007446 ETH",0.00830404%,3
982,0xf908b1a1f409baa43256b0b66f5dfe32fe9024fb,,"10,000.00005635 ETH",0.00830404%,3
983,0xebf137a8a64d8a8ad38d368379959455e69c90dd,,"10,000.00005256 ETH",0.00830404%,3
984,0x33b62165fbb2927031c623bc330eb248c3ad6fe9,,"10,000 ETH",0.00830404%,2
985,0x5c96de3a6a9034120bc0509700c0eea801efd842,,"10,000 ETH",0.00830404%,2
986,0x29aef48de8c9fbad4b9e4ca970797a5533eb722d,,"10,000 ETH",0.00830404%,2
987,0x5557c8c45b4f55016707cf22b6e54e9189a3fbd5,,"10,000 ETH",0.00830404%,1
988,0xcb9f54ec8cd14a31bff10c9c843c843ed67efa60,,"10,000 ETH",0.00830404%,1
989,0xc0b13bbe75717db4218ce8031276b7859c2114a1,,"10,000 ETH",0.00830404%,1
990,0x5c106a0ea5f5c0a8d81cf330e53f058fd3b770b7,,"10,000 ETH",0.00830404%,1
991,0xdc6205cd2a4bccf39f0f2c9106de6cb8f46ffa03,,"10,000 ETH",0.00830404%,1
992,0xf08bf6dc5406c7c3ae579894deefd5c13ea8933d,,"10,000 ETH",0.00830404%,1
993,0x2de19e81525fd5d74c7cbbbcca585807a9018c40,,"10,000 ETH",0.00830404%,1
994,0x81127954046a1aba305f2b562ba1ad7129d73c1d,,"10,000 ETH",0.00830404%,1
995,0x0195bd0e9dc6f98bd9bb3d0bff69749a52065fa5,,"10,000 ETH",0.00830404%,1
996,0x09c9f203e6e1bcc4ede5c594771e9da6937699ee,,"10,000 ETH",0.00830404%,1
997,0x2f1d3da11eabb07d33d185314b198abd4df656f0,,"10,000 ETH",0.00830404%,1
998,0x200d0d4ed39da71bbf2eaa86d7c0923041a8292e,,"10,000 ETH",0.00830404%,1
