Rank,Address,Name Tag,Balance,Percentage,Txn Count
52,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,,"132,432.53784574 ETH",0.10997250%,64
53,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,,"130,876.36103968 ETH",0.10868024%,66
54,0x835678a611b28684005a5e2233695fb6cbbb0007,Binance 70,"130,784.92164355 ETH",0.10860431%,164
55,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,,"129,392.27133712 ETH",0.10744785%,59
56,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,,"129,392.17183338 ETH",0.10744777%,56
57,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,,"129,392.17162811 ETH",0.10744777%,122
58,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,,"129,392.17136012 ETH",0.10744777%,59
59,0xf481b7fab9f5d0e74f21ae595a749634fb053619,,"129,231.42216925 ETH",0.10731428%,67
60,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance 74,"128,280.0148017 ETH",0.10652423%,11
61,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,,"125,737.51283918 ETH",0.10441292%,112
62,0x79f67f689b9925710d4dda2a39d680e9cea61c81,,"121,198.1819755 ETH",0.10064344%,83
63,0x368d43c23843ca9b49dc861d80251bda6a090367,,"120,707.72998046 ETH",0.10023617%,92
64,0x2d1566722288be5525b548a642c98b546f116aa0,,"120,707.71082316 ETH",0.10023616%,136
65,0xb4f4317b7885de16305d1303570879c21f378255,,"120,707.71079916 ETH",0.10023616%,132
66,0x84bf16e7675cee22d0e0302913ccf58b45333ddf,,"120,707.71079696 ETH",0.10023616%,131
67,0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,,"120,707.71079379 ETH",0.10023616%,82
68,0xf443864ba5d5361bbc54298551067194f980a635,,"120,707.71078925 ETH",0.10023616%,133
69,0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,,"116,005.01344363 ETH",0.09633102%,147
70,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1,"114,939.00001 ETH",0.09544580%,63
71,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,"110,000.75260764 ETH",0.09134506%,64
72,0x084ef8564b4f75a70b7ad5e8aabf73edac005397,,"108,544.04481874 ETH",0.09013540%,135
73,0xcac9c634b4464efe71a9a5910edba06686baf457,,"108,532.91750801 ETH",0.09012616%,131
74,0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,,"108,532.9173911 ETH",0.09012616%,76
75,0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,,"108,532.91731301 ETH",0.09012616%,75
76,0x4ed97d6470f5121a8e02498ea37a50987da0eec0,,"108,532.91730801 ETH",0.09012616%,106
77,0x7aacfab03940202ce8c37e3aed3718fe3a37b007,,"108,215.820191 ETH",0.08986284%,8
78,0x6e414cfad874d8ee716ea0299d40011207c907b8,,"108,205.26643395 ETH",0.08985408%,78
79,0x19bf56fca395a600c20f732b05757f30ad24a719,,"108,205.26632203 ETH",0.08985408%,70
80,0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,,"108,054.42444315 ETH",0.08972882%,72
81,0x8ae880b5d35305da48b63ce3e52b22d17859f293,,"107,708.24446505 ETH",0.08944135%,10
82,0xa463597d49f54fe6a811fb894cbd67c7f92852b0,,"107,686.26657306 ETH",0.08942310%,72
83,0x3f6a6f3b1bf064296a5880c0102d2c4e7d383932,,"107,236.50790955 ETH",0.08904962%,84
84,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex 15,"107,141.16775261 ETH",0.08897044%,29
85,0x7f1502605a2f2cc01f9f4e7dd55e549954a8cd0c,,"105,874.39424647 ETH",0.08791851%,257
86,0xd7f9f54194c633f36ccd5f3da84ad4a1c38cb2cb,,"105,191.0403085 ETH",0.08735105%,"3,761"
87,0xbed96d0840201011df1467379a5d311e0040073a,,"103,744.75950728 ETH",0.08615005%,7
88,0x115ec8ea0ccd7e3e6f5369deff377ea0b3e339e2,,"102,101.05265916 ETH",0.08478511%,62
89,0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,,"102,002.99468233 ETH",0.08470369%,14
90,0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,,"101,388.61949334 ETH",0.08419351%,35
91,0x67f706db3bbd04a250eed049386c5d09c4ee31f0,,"100,784.24757181 ETH",0.08369163%,38
92,0xd9858d573a26bca124282afa21ca4f4a06eff98a,,"100,179.66778882 ETH",0.08318959%,12
93,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,"100,116.88988392 ETH",0.08313746%,28
94,0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,,"100,000.14577856 ETH",0.08304051%,11
95,0x2d89034424db22c9c555f14692a181b22b17e42c,,"100,000.00003483 ETH",0.08304039%,10
96,0x40f50e8352d64af0ddda6ad6c94b5774884687c3,,"100,000.00002133 ETH",0.08304039%,6
97,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 28,"98,875.42105427 ETH",0.08210654%,"3,729"
98,0x36b6751586614d647d8a3f495e82bdcf250914c8,,"98,770.46156153 ETH",0.08201938%,66
99,0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,,"98,770.46155584 ETH",0.08201938%,75
100,0xe93fc974908003faddf0bd972b05b6494368d3f5,,"98,770.46152594 ETH",0.08201938%,68
101,0x303c741bb15c9c4b1c72320f6df702b32da80519,,"98,770.46150985 ETH",0.08201938%,77
102,0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex 16,"97,634.063475 ETH",0.08107571%,1
103,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,"95,263.26323519 ETH",0.07910699%,1
104,0xf196c023de1f19d6529133759f449c4b01ce0f51,,"94,923.81168397 ETH",0.07882510%,58
105,0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,,"93,032.09631113 ETH",0.07725422%,7
106,0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0,,"92,228.15247716 ETH",0.07658662%,6
107,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,"92,110.05119252 ETH",0.07648855%,"11,181"
108,0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,,"90,645.23803272 ETH",0.07527216%,60
109,0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30,,"90,000.14557205 ETH",0.07473647%,9
110,0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75,,"90,000.14537558 ETH",0.07473647%,7
111,0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0,,"90,000.14525149 ETH",0.07473647%,6
112,0xda29accfb77995bef70bcf6478a73e9acb07732d,,"90,000.14523237 ETH",0.07473647%,7
113,0xf29c6705f188526e0029a92ee6bc21ebc750b675,,"90,000.14519401 ETH",0.07473647%,7
114,0x03d615c04be905790dbef2df0472a2e901ccd810,,"90,000.14504835 ETH",0.07473647%,7
115,0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f,,"90,000.13561258 ETH",0.07473646%,8
116,0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,,"89,854.99807357 ETH",0.07461594%,58
117,0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank 2,"88,268.5036154 ETH",0.07329851%,"15,017"
118,0x1bb762b16438f8b287626fd1042bc6f6848cc286,,"86,481.01573968 ETH",0.07181417%,5
119,0xad0d53cf033ab63dc72d653640766ee1d366cef6,,"85,968.12149808 ETH",0.07138826%,79
120,0xac08f21ef597a51865d69896f09b52472acde80d,,"85,968.12129066 ETH",0.07138826%,68
121,0x0ef3794802b55bc4464114c3df550430b53a3506,,"85,110.08592572 ETH",0.07067575%,53
122,0xbddf00563c9abd25b576017f08c46982012f12be,,"85,056.08590454 ETH",0.07063091%,795
123,0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,,"84,999.9954392 ETH",0.07058433%,9
124,0x3f4ac8d3e1414b5351e632391908177c012c65cc,,"84,642.40751359 ETH",0.07028739%,74
125,0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,Starknet: StarkGate ETH Bridge,"83,413.87992282 ETH",0.06926721%,"1,808,718"
126,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,WithdrawDAO,"83,213.78551464 ETH",0.06910105%,"19,697"
127,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,"83,017.21222801 ETH",0.06893782%,76
128,0xb46427e2cddecb0bde40bf402361effddd4401e2,,"81,444.25827907 ETH",0.06763163%,8
129,0x73af3bcf944a6559933396c1577b257e2054d935,Robinhood 6,"81,382.45120775 ETH",0.06758031%,388
130,0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,,"80,673.98765072 ETH",0.06699199%,66
131,0xa7efae728d2936e78bda97dc267687568dd593f3,OKX 3,"80,598.54426808 ETH",0.06692935%,"4,113,359"
132,0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,,"80,000.00038144 ETH",0.06643231%,10
133,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,OKX 24,"79,972.35201174 ETH",0.06640935%,"2,236,850"
134,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,OKX 25,"79,843.1278801 ETH",0.06630205%,"2,233,222"
135,0x918fa381cb534677bad24afb29cb3c2acaf16385,,"79,340.3816176 ETH",0.06588456%,4
136,0xd2b0b1daed605718080f861034d3241f1cfd89cb,,"79,122.43024148 ETH",0.06570358%,4
137,0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,,"77,735.85185611 ETH",0.06455216%,5
138,0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,Scroll: L1 Scroll Messenger Proxy,"77,563.53530154 ETH",0.06440906%,"866,126"
139,0x831c3720681096f276cb016b51a33433d7cb2faa,,"74,658.55989616 ETH",0.06199676%,67
140,0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,,"74,658.55986664 ETH",0.06199676%,78
141,0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,,"74,658.55985016 ETH",0.06199676%,65
142,0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,,"74,658.55984144 ETH",0.06199676%,76
143,0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,,"74,658.55984064 ETH",0.06199676%,71
144,0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,,"74,658.55983264 ETH",0.06199676%,76
145,0xb3177d9873b7ac246874114d8760e66dc5e797cc,,"74,658.55983264 ETH",0.06199676%,71
146,0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,,"74,658.55983264 ETH",0.06199676%,73
147,0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,,"72,013.49455401 ETH",0.05980029%,74
148,0xe27f62b70ab44d7fd1842dce66138a31940fa29a,,"71,365.78137487 ETH",0.05926242%,75
149,0x755cdba6ae4f479f7164792b318b2a06c759833b,ExtraBalDaoWithdraw,"70,969.49700198 ETH",0.05893335%,"8,280"
150,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,"70,643.72641708 ETH",0.05866283%,"4,627,333"
151,0xc54cb22944f2be476e02decfcd7e3e7d3e15a8fb,,"67,740.39213422 ETH",0.05625189%,"6,568"
152,0xd65d71e5ecccfcf72b84cad65370626e048d1b33,,"67,666.36564957 ETH",0.05619041%,72
153,0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,,"67,666.36564957 ETH",0.05619041%,84
154,0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,,"67,666.36564957 ETH",0.05619041%,77
155,0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,,"67,666.36564957 ETH",0.05619041%,81
156,0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,,"67,560.20060894 ETH",0.05610225%,77
157,0xecef66258cc21cb742ac34c68375b311fd3f34cc,,"67,491.71031803 ETH",0.05604538%,142
158,0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,,"67,395.88606182 ETH",0.05596581%,236
159,0xc4d5b7c576edfbac20fa081cff79ec745193e207,,"67,372.26115846 ETH",0.05594619%,224
160,0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,,"67,372.2611448 ETH",0.05594619%,233
161,0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,,"67,372.25225665 ETH",0.05594618%,75
162,0x1e143b2588705dfea63a17f2032ca123df995ce0,QuadrigaCX 5,"67,317.25769198 ETH",0.05590051%,"20,829"
163,0x4920f22b632bfaa40af8d39c31d9607809485952,,"67,312.71205456 ETH",0.05589674%,6
164,0xad7f791974169973443c496eaa102f1a7842003d,,"66,919.48428656 ETH",0.05557020%,6
165,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,"66,738.81005824 ETH",0.05542017%,"21,061,357"
166,0x47029dc4f3922706bf670d335c45550cff4f6a35,,"65,857.53015957 ETH",0.05468835%,29
167,0x3bc643a841915a267ee067b580bd802a66001c1d,BTC Markets 1,"65,314.53539987 ETH",0.05423745%,349
168,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,"65,162.50944813 ETH",0.05411120%,"10,532,766"
169,0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,,"65,006.10053649 ETH",0.05398132%,59
170,0xec6a76e74b9a5ad49eda0aa63b91c2c53cb65a9c,,"63,734.30124516 ETH",0.05292521%,6
171,0x8c1fe06904a6e642b1e8c66b3ee7fac83cc46873,,"60,330.81281664 ETH",0.05009894%,15
172,0xe4f4866437513e7e023fb3933ba43045312b7459,,"60,078.6162451 ETH",0.04988952%,12
173,0x52e86988bd07447c596e9b0c7765f8500113104c,Mixin Network Exploiter 1,"59,807.7106417 ETH",0.04966456%,"10,116"
174,0x8408b4ff79195dd2c1b903204b3b41becc4bb486,,"59,532.88336339 ETH",0.04943634%,"1,082"
175,0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,"59,491.41000034 ETH",0.04940190%,41
176,0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,"59,480.51000034 ETH",0.04939285%,44
177,0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,,"59,330.37995433 ETH",0.04926818%,171
178,0xa43d2e05ed00c040c8422a88cb8ede921a539f92,,"59,013.14018545 ETH",0.04900474%,793
179,0x998a7fd73446cd6532bf3058a270581730b27137,,"58,938.03696568 ETH",0.04894238%,9
180,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,"58,818.45010823 ETH",0.04884307%,187
181,0x5126ec2d8834b63a962fc471e2a6b12641454fe8,,"58,780.29700981 ETH",0.04881139%,29
182,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,"58,031.60811134 ETH",0.04818967%,"320,823"
183,0x904cc2b2694ffa78f04708d6f7de205108213126,Deribit,"58,000.00000033 ETH",0.04816343%,10
184,0x693be1ea307e3b3826d34e96336399969898dee8,,"57,812.78317867 ETH",0.04800796%,6
185,0x8c3389616404fda275cfdba0c7b0b3d1fee9ebdc,,"57,624.53523682 ETH",0.04785164%,6
186,0x26648eb66f11fe2e9d7b874981e8eefe6567b9df,,"57,480.98318009 ETH",0.04773243%,116
187,0x7ac0d327c18dc46f603e127b89db0a5b749dc069,,"57,480.98318009 ETH",0.04773243%,23
188,0x51cab40a6895d2a5c092f3766b3b9830884b0adf,,"57,001.39900033 ETH",0.04733418%,4
189,0x1e547eb395ac9c3ec41704ba85777dbcdd359de5,,"56,743.53962345 ETH",0.04712006%,79
190,0xb10edd6fa6067dba8d4326f1c8f0d1c791594f13,Bitpanda 5,"56,427.37447572 ETH",0.04685751%,"7,356"
191,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,"56,200.26012475 ETH",0.04666892%,"4,491,337"
192,0x434587332cc35d33db75b93f4f27cc496c67a4db,,"56,061.23698288 ETH",0.04655347%,125
193,0x2842eb68fcd748e92acb44d82a9e315fc7dc650d,,"55,592.23618538 ETH",0.04616401%,4
